date_time,traffic_volume,weather_main,temp,clouds_all,weekday,hour,month,year
2015-09-30 00:00:00,551,Clear,278.65,1,Wednesday,0,9,2015
2015-09-30 02:00:00,273,Clear,277.54,1,Wednesday,2,9,2015
2015-09-30 03:00:00,348,Clear,277.34,1,Wednesday,3,9,2015
2015-09-30 04:00:00,947,Clear,277.21,1,Wednesday,4,9,2015
2015-09-30 05:00:00,3021,Clear,276.89,1,Wednesday,5,9,2015
2015-09-30 06:00:00,5814,Clear,276.81,1,Wednesday,6,9,2015
2015-09-30 07:00:00,6155,Clear,276.57,1,Wednesday,7,9,2015
2015-09-30 08:00:00,5782,Clear,278.32,1,Wednesday,8,9,2015
2015-09-30 09:00:00,5509,Clear,279.21,1,Wednesday,9,9,2015
2015-09-30 10:00:00,4562,Clear,284.36,1,Wednesday,10,9,2015
2015-09-30 11:00:00,4786,Clear,286.3,1,Wednesday,11,9,2015
2015-09-30 14:00:00,5346,Clear,290.13,1,Wednesday,14,9,2015
2015-09-30 15:00:00,5708,Clear,290.31,1,Wednesday,15,9,2015
2015-09-30 16:00:00,6457,Clear,290.37,1,Wednesday,16,9,2015
2015-09-30 17:00:00,6224,Clear,290.05,1,Wednesday,17,9,2015
2015-09-30 18:00:00,4704,Clear,288.72,1,Wednesday,18,9,2015
2015-09-30 19:00:00,3679,Clear,286.29,1,Wednesday,19,9,2015
2015-09-30 19:00:00,3679,Clear,286.29,1,Wednesday,19,9,2015
2015-09-30 20:00:00,2997,Clear,283.41,1,Wednesday,20,9,2015
2015-09-30 21:00:00,2608,Clear,281.79,1,Wednesday,21,9,2015
2015-09-30 22:00:00,1620,Clear,280.35,1,Wednesday,22,9,2015
2015-09-30 23:00:00,968,Clear,279.71,1,Wednesday,23,9,2015
2015-10-01 00:00:00,544,Clear,279.62,1,Thursday,0,10,2015
2015-10-01 01:00:00,380,Clear,278.85,1,Thursday,1,10,2015
2015-10-01 02:00:00,298,Clear,278.88,1,Thursday,2,10,2015
2015-10-01 03:00:00,373,Clear,278.89,1,Thursday,3,10,2015
2015-10-01 04:00:00,918,Clear,278.6,1,Thursday,4,10,2015
2015-10-01 05:00:00,2922,Clear,278.27,1,Thursday,5,10,2015
2015-10-01 07:00:00,6258,Clear,277.75,1,Thursday,7,10,2015
2015-10-01 11:00:00,4925,Clear,286.75,1,Thursday,11,10,2015
2015-10-01 12:00:00,5157,Clear,288.25,1,Thursday,12,10,2015
2015-10-01 13:00:00,5141,Clear,289.29,1,Thursday,13,10,2015
2015-10-01 14:00:00,5374,Clear,289.76,1,Thursday,14,10,2015
2015-10-01 15:00:00,5878,Clear,290.18,1,Thursday,15,10,2015
2015-10-01 16:00:00,6220,Clear,290.22,1,Thursday,16,10,2015
2015-10-01 17:00:00,5618,Clear,289.61,1,Thursday,17,10,2015
2015-10-01 18:00:00,4639,Clear,288.59,1,Thursday,18,10,2015
2015-10-01 19:00:00,3745,Clear,285.96,1,Thursday,19,10,2015
2015-10-01 20:00:00,3300,Clear,283.65,1,Thursday,20,10,2015
2015-10-01 21:00:00,4061,Clear,282.49,1,Thursday,21,10,2015
2015-10-01 22:00:00,3712,Clear,282.25,1,Thursday,22,10,2015
2015-10-01 23:00:00,1348,Clear,282.01,1,Thursday,23,10,2015
2015-10-02 00:00:00,689,Clear,281.71,1,Friday,0,10,2015
2015-10-02 01:00:00,431,Clear,280.47,1,Friday,1,10,2015
2015-10-02 02:00:00,381,Clear,279.87,1,Friday,2,10,2015
2015-10-02 03:00:00,411,Clear,278.92,1,Friday,3,10,2015
2015-10-02 04:00:00,870,Clear,278.48,1,Friday,4,10,2015
2015-10-02 05:00:00,2778,Clear,277.47,1,Friday,5,10,2015
2015-10-02 07:00:00,6365,Clear,276.37,1,Friday,7,10,2015
2015-10-02 11:00:00,5088,Clear,285.03,1,Friday,11,10,2015
2015-10-02 12:00:00,5705,Clear,286.28,1,Friday,12,10,2015
2015-10-02 13:00:00,5864,Clear,287.63,1,Friday,13,10,2015
2015-10-02 14:00:00,6047,Clear,288.76,1,Friday,14,10,2015
2015-10-02 15:00:00,6183,Clear,289.44,1,Friday,15,10,2015
2015-10-02 16:00:00,6418,Clear,289.54,1,Friday,16,10,2015
2015-10-02 17:00:00,6099,Clear,289.37,1,Friday,17,10,2015
2015-10-02 18:00:00,5330,Clear,288.35,1,Friday,18,10,2015
2015-10-02 19:00:00,4399,Clouds,287.09,20,Friday,19,10,2015
2015-10-02 20:00:00,3596,Clear,284.13,1,Friday,20,10,2015
2015-10-02 21:00:00,2946,Clear,283.68,5,Friday,21,10,2015
2015-10-02 22:00:00,2386,Clear,282.66,1,Friday,22,10,2015
2015-10-02 23:00:00,1737,Clear,282.23,0,Friday,23,10,2015
2015-10-03 00:00:00,1186,Clear,281.77,0,Saturday,0,10,2015
2015-10-03 01:00:00,795,Clear,281.01,0,Saturday,1,10,2015
2015-10-03 02:00:00,542,Clear,280.24,1,Saturday,2,10,2015
2015-10-03 03:00:00,374,Clear,279.78,1,Saturday,3,10,2015
2015-10-03 04:00:00,368,Clear,279.26,1,Saturday,4,10,2015
2015-10-03 05:00:00,775,Clear,278.83,1,Saturday,5,10,2015
2015-10-03 07:00:00,2261,Clear,277.63,1,Saturday,7,10,2015
2015-10-03 08:00:00,3422,Clear,278.22,1,Saturday,8,10,2015
2015-10-03 11:00:00,5542,Clear,283.63,1,Saturday,11,10,2015
2015-10-03 12:00:00,5208,Clear,286.03,1,Saturday,12,10,2015
2015-10-03 13:00:00,4950,Clear,287.22,1,Saturday,13,10,2015
2015-10-03 14:00:00,4779,Clear,287.95,1,Saturday,14,10,2015
2015-10-03 15:00:00,4652,Clear,288.66,1,Saturday,15,10,2015
2015-10-03 16:00:00,4547,Clear,288.59,1,Saturday,16,10,2015
2015-10-03 17:00:00,4707,Clear,288.02,1,Saturday,17,10,2015
2015-10-03 18:00:00,4518,Clear,286.42,1,Saturday,18,10,2015
2015-10-03 19:00:00,3973,Clear,284.14,1,Saturday,19,10,2015
2015-10-03 20:00:00,3197,Clear,283.47,1,Saturday,20,10,2015
2015-10-03 21:00:00,3049,Clear,282.38,1,Saturday,21,10,2015
2015-10-03 22:00:00,3283,Clear,282.04,1,Saturday,22,10,2015
2015-10-03 23:00:00,2020,Clear,281.6,1,Saturday,23,10,2015
2015-10-04 00:00:00,1401,Clear,281.09,1,Sunday,0,10,2015
2015-10-04 01:00:00,719,Clear,280.43,1,Sunday,1,10,2015
2015-10-04 02:00:00,627,Clear,280.32,1,Sunday,2,10,2015
2015-10-04 03:00:00,350,Clear,279.69,1,Sunday,3,10,2015
2015-10-04 04:00:00,338,Clouds,279.1,75,Sunday,4,10,2015
2015-10-04 05:00:00,703,Clear,278.51,1,Sunday,5,10,2015
2015-10-04 07:00:00,1647,Clear,277.38,1,Sunday,7,10,2015
2015-10-04 08:00:00,2202,Clear,278.49,1,Sunday,8,10,2015
2015-10-04 11:00:00,4416,Clouds,284.16,40,Sunday,11,10,2015
2015-10-04 12:00:00,5472,Clouds,284.55,75,Sunday,12,10,2015
2015-10-04 13:00:00,6013,Clouds,286.08,75,Sunday,13,10,2015
2015-10-04 14:00:00,5706,Clouds,286.86,40,Sunday,14,10,2015
2015-10-04 15:00:00,4452,Clear,287.08,1,Sunday,15,10,2015
2015-10-04 16:00:00,4257,Haze,287.23,1,Sunday,16,10,2015
2015-10-04 17:00:00,4137,Clear,286.74,1,Sunday,17,10,2015
2015-10-04 18:00:00,3893,Clear,285.86,1,Sunday,18,10,2015
2015-10-04 19:00:00,3648,Clear,283.92,1,Sunday,19,10,2015
2015-10-04 20:00:00,2750,Clear,282.49,1,Sunday,20,10,2015
2015-10-04 21:00:00,2125,Clear,281.66,1,Sunday,21,10,2015
2015-10-04 22:00:00,1438,Clear,281.95,1,Sunday,22,10,2015
2015-10-04 23:00:00,915,Clouds,282.37,40,Sunday,23,10,2015
2015-10-05 00:00:00,474,Clouds,282.18,40,Monday,0,10,2015
2015-10-05 02:00:00,258,Rain,281.86,90,Monday,2,10,2015
2015-10-05 03:00:00,316,Clouds,281.47,75,Monday,3,10,2015
2015-10-05 04:00:00,870,Clouds,281.27,75,Monday,4,10,2015
2015-10-05 05:00:00,2738,Mist,280.99,75,Monday,5,10,2015
